Date,Member,Rides
8/22/2018,0,3174
8/23/2018,0,5768
8/24/2018,0,6893
8/25/2018,0,9973
8/26/2018,0,8237
8/27/2018,0,5208
8/28/2018,0,4449
8/29/2018,0,4129
8/30/2018,0,5330
8/31/2018,0,6919
9/1/2018,0,9917
9/2/2018,0,5060
9/3/2018,0,4785
9/4/2018,0,4740
9/5/2018,0,3941
9/6/2018,0,4388
9/7/2018,0,5673
9/8/2018,0,7133
9/9/2018,0,5377
9/10/2018,0,2447
9/11/2018,0,2352
9/12/2018,0,3599
9/13/2018,0,4246
9/14/2018,0,5127
9/15/2018,0,7750
9/16/2018,0,7198
9/17/2018,0,3890
9/18/2018,0,2904
9/19/2018,0,2670
9/20/2018,0,2947
9/21/2018,0,1785
9/22/2018,0,5693
9/23/2018,0,4295
9/24/2018,0,2269
9/25/2018,0,851
9/26/2018,0,1455
9/27/2018,0,3284
9/28/2018,0,4059
9/29/2018,0,4531
9/30/2018,0,6003
10/1/2018,0,2372
10/2/2018,0,837
10/3/2018,0,1793
10/4/2018,0,1862
10/5/2018,0,2508
10/6/2018,0,2637
10/7/2018,0,3109
10/8/2018,0,1502
10/9/2018,0,2922
10/10/2018,0,1501
10/11/2018,0,949
10/12/2018,0,2081
10/13/2018,0,2438
10/14/2018,0,2751
10/15/2018,0,887
10/16/2018,0,1242
10/17/2018,0,1180
10/18/2018,0,1105
10/19/2018,0,2359
10/20/2018,0,2498
10/21/2018,0,1342
10/22/2018,0,1202
10/23/2018,0,1154
10/24/2018,0,979
10/25/2018,0,984
10/26/2018,0,1446
10/27/2018,0,917
10/28/2018,0,938
10/29/2018,0,501
10/30/2018,0,814
10/31/2018,0,419
11/1/2018,0,945
11/2/2018,0,686
11/3/2018,0,516
11/4/2018,0,1449
11/5/2018,0,442
11/6/2018,0,497
11/7/2018,0,832
11/8/2018,0,920
11/9/2018,0,603
11/10/2018,0,709
11/11/2018,0,565
11/12/2018,0,569
11/13/2018,0,335
11/14/2018,0,246
11/15/2018,0,338
4/14/2019,0,3233
4/15/2019,0,375
4/16/2019,0,895
4/17/2019,0,2542
4/18/2019,0,1145
4/19/2019,0,462
4/20/2019,0,831
4/21/2019,0,5597
4/22/2019,0,5477
4/23/2019,0,2644
4/24/2019,0,812
4/25/2019,0,2063
4/26/2019,0,558
4/27/2019,0,768
4/28/2019,0,2562
4/29/2019,0,2111
4/30/2019,0,2631
5/1/2019,0,1325
5/2/2019,0,1549
